TownCode,LocationFactor,Land_SquareFeet,Land_PriorTaxYearMarketValueEstimate,Building_SquareFeet,Building_PriorTaxYearMarketValueEstimate,SalePrice,Age,WallMaterial,RoofMaterial,Rooms,Bedrooms,FullBaths,Basement,BasementFinish,CentralHeating,CentralAir,AtticType,HalfBaths,Garage1Size,Garage1Material,Garage1Attachment,Garage1Area,Porch
10,1.54177755890652,57347,100350.0,5226.0,819650.0,975000.0,16,2.0,4.0,10.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,Other,4.0,1.0,1.0,3
10,1.44787431832926,70349,123110.0,3474.0,601900.0,650000.0,21,2.0,1.0,7.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,Other,4.0,1.0,2.0,3
10,1.43268547582985,90069,247680.0,6018.0,466210.0,960000.0,27,2.0,5.0,Other,5.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,Other,2.0,1.0,1.0,3
10,1.82009913524986,81052,141840.0,3018.0,552880.0,590000.0,40,2.0,1.0,8.0,4.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,2.0,3
10,1.72270151136901,66490,116350.0,5458.0,813790.0,630000.0,36,3.0,4.0,9.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,Other,2.0,1.0,2.0,3
10,1.68781215610027,43961,76930.0,2496.0,457610.0,560000.0,47,3.0,4.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,2.0,3
10,1.60882730380872,77624,135840.0,3315.0,478020.0,685000.0,39,4.0,1.0,9.0,4.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,Other,4.0,1.0,1.0,3
10,1.55841860064282,105589,184780.0,4655.0,644720.0,865000.0,37,2.0,1.0,8.0,4.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,Other,2.0,1.0,2.0,3
10,1.95155906838079,191969,383930.0,1041.0,373670.0,365000.0,51,1.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,3
10,1.82188195809619,23782,65400.0,3113.0,585080.0,700000.0,12,1.0,1.0,9.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,Other,3.0,1.0,1.0,3
